,alt,lat,lon,pitch,rol,yaw
381,179.7,32.9411911,35.1086771,3.28,1.12,154.31
382,179.73,32.9411367,35.1086976,2.98,0.77,153.92
383,180.16,32.9410822,35.1087185,2.71,3.37,154.24
384,180.29,32.9410278,35.1087396,2.57,11.07,155.39
385,180.18,32.9409733,35.1087607,2.86,18.4,155.56
386,179.79,32.9409186,35.1087812,3.75,19.18,154.87
387,179.79,32.9408636,35.1088002,4.23,12.78,154.18
388,180.05,32.9408085,35.1088181,4.05,9.58,153.82
389,180.26,32.9407529,35.1088355,3.58,8.43,153.85
390,180.73,32.9406971,35.1088526,2.83,7.06,154.59
391,180.86,32.9406413,35.1088695,2.7,6.48,155.25
392,181.02,32.9405854,35.1088864,2.85,9.08,155.69
393,180.41,32.9405293,35.1089029,3.36,12.7,155.62
394,180.37,32.940473,35.1089189,3.31,13.69,155.99
395,180.52,32.9404166,35.1089342,2.93,15.12,157.4
396,180.55,32.9403602,35.1089489,2.5,19.38,159.0
397,180.73,32.9403037,35.1089628,2.83,21.86,160.0
398,180.31,32.9402468,35.1089762,3.23,24.76,161.57
399,179.69,32.9401896,35.1089881,3.11,27.82,163.83
400,179.65,32.9401321,35.1089983,3.19,30.61,166.21
401,179.69,32.9400744,35.1090066,3.79,31.01,167.5
402,179.48,32.9400165,35.1090126,4.29,30.58,168.87
403,179.42,32.9399585,35.1090164,4.75,30.99,170.6
404,179.12,32.9399005,35.1090181,4.74,30.86,172.93
405,179.23,32.9398423,35.1090176,4.59,32.05,175.26
406,178.98,32.9397842,35.109015,5.04,35.28,176.93
407,179.08,32.9397262,35.1090093,5.26,36.97,178.31
408,179.37,32.9396686,35.1090013,5.55,37.84,179.92
409,179.03,32.9396115,35.1089917,5.8,37.22,182.5
410,178.61,32.9395552,35.1089798,6.01,31.87,185.25
411,177.97,32.9395002,35.1089659,4.34,23.84,189.01
412,177.8,32.9394464,35.1089498,3.04,23.04,192.05
413,177.99,32.9393935,35.1089321,2.93,26.31,193.88
414,177.64,32.9393417,35.1089128,3.69,28.0,193.91
415,177.57,32.9392915,35.1088923,4.78,28.84,194.12
416,177.33,32.9392422,35.1088701,5.02,29.29,195.93
417,177.13,32.9391942,35.1088465,4.44,29.75,198.24
418,177.04,32.9391475,35.1088218,4.46,29.87,201.13
419,176.66,32.9391019,35.1087958,3.87,28.44,203.44
420,176.77,32.9390577,35.1087686,2.84,30.85,206.9
421,176.62,32.9390146,35.1087401,2.75,32.01,210.45
422,176.0,32.9389729,35.1087106,2.87,32.84,212.6
423,175.38,32.938933,35.1086795,2.73,33.04,215.22
424,174.98,32.9388943,35.1086461,2.31,32.24,217.03
425,175.03,32.9388575,35.108611,3.29,30.55,217.98
426,174.47,32.9388225,35.1085753,4.89,27.4,218.56
427,174.05,32.9387893,35.1085386,5.67,20.72,217.81
428,173.73,32.9387578,35.1085007,5.49,20.2,217.8
429,173.27,32.9387274,35.1084623,4.39,20.96,218.68
430,173.18,32.9386981,35.1084234,3.3,19.93,219.99
431,173.12,32.93867,35.1083841,2.14,19.56,221.25
432,172.94,32.9386427,35.1083444,1.57,17.3,221.98
433,172.44,32.9386159,35.1083044,1.13,14.65,222.65
434,171.68,32.9385896,35.1082644,0.5,16.86,225.08
435,170.98,32.9385642,35.1082241,-0.23,20.03,228.41
436,170.25,32.9385395,35.1081832,-1.15,20.86,231.54
437,169.49,32.9385156,35.1081416,-2.29,23.16,234.92
438,168.94,32.9384928,35.1080996,-2.55,24.53,236.6
439,168.14,32.9384714,35.1080569,-1.89,26.14,238.13
440,167.37,32.9384514,35.1080134,-1.78,29.57,239.46
441,166.97,32.9384329,35.107969,-1.95,32.36,241.94
442,166.17,32.9384156,35.1079242,-1.63,31.41,244.84
443,165.16,32.9383997,35.1078789,-1.79,31.51,247.9
444,164.46,32.9383856,35.1078332,-2.86,31.32,252.51
445,163.8,32.9383732,35.107787,-4.01,31.44,257.32
446,163.2,32.9383628,35.1077403,-4.92,34.67,261.99
447,162.42,32.9383545,35.1076934,-4.9,37.77,265.76
448,161.43,32.938348,35.1076468,-3.14,37.94,268.75
449,160.49,32.938344,35.1076001,-1.24,35.94,270.37
450,159.41,32.9383427,35.1075535,-0.38,33.62,271.99
451,158.58,32.938344,35.1075071,-0.76,32.86,275.0
452,158.0,32.9383473,35.1074611,-1.32,33.59,278.58
453,157.43,32.9383527,35.1074155,-1.87,34.54,282.2
454,156.84,32.93836,35.1073708,-2.16,35.45,285.2
455,156.29,32.9383691,35.1073271,-1.77,36.16,287.71
456,155.47,32.9383801,35.1072843,-1.32,37.51,290.47
457,154.66,32.9383926,35.1072428,-1.1,35.91,293.57
458,153.89,32.9384072,35.1072025,-1.19,34.89,297.19
459,153.25,32.9384234,35.1071636,-1.63,35.46,300.54
460,152.72,32.9384414,35.1071264,-1.68,38.18,304.23
461,151.96,32.9384611,35.1070907,-1.29,38.89,307.2
462,151.19,32.9384829,35.107057,-0.93,37.46,309.87
